Synthase,Length (aa),Architecture,Classification
THC91935.1,314,KS,PKS
THC91910.1,2304,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
THC91909.1,1767,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
THC91851.1,1777,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
THC91813.1,181,KS-AT,PKS|Type I
THC91570.1,413,KS,Thiolase
THC91448.1,3937,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
THC91413.1,427,KS,Fatty acid synthase
THC91367.1,2449,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
THC90921.1,1496,KS-AT-DH-MT,PKS|Type I|Partially-reducing
THC90655.1,1688,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
THC90242.1,2568,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
THC90199.1,2380,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
THC90120.1,2403,KS-AT-DH-ER-KR-ACP-TE,PKS|Type I|Highly-reducing
THC89861.1,458,KS,Thiolase
THC89686.1,3945,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
THC89674.1,1920,KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
THC89221.1,401,KS,PKS
THC88974.1,403,KS,PKS|Type III
THC88852.1,307,KS,PKS|Type III
THC88841.1,2334,SAT-KS-AT-PT-ACP-ACP-MT,PKS|Type I|Non-reducing
THC88803.1,2391,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
THC88618.1,3967,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
QBE85649.1,3987,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RMZ48383.1,590,KS-AT,PKS|Type I
RMZ48007.1,1625,AT-KR-KS,Fatty acid synthase
RMZ47988.1,2374,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ47315.1,416,KS,Thiolase
RMZ46650.1,399,KS,Thiolase
RMZ46555.1,3880,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RMZ46550.1,432,KS,Thiolase
RMZ46068.1,2045,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RMZ45893.1,2141,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RMZ45820.1,2512,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ45161.1,2420,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RMZ45103.1,387,KS,PKS|Type III
RMZ44928.1,3925,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RMZ44675.1,1761,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RMZ44489.1,421,KS,Thiolase
RMZ44475.1,2571,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RMZ44363.1,2104,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RMZ44336.1,2253,SAT-KS-AT-PT-ACP-MT,PKS|Type I|Non-reducing
RMZ44288.1,2443,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ43722.1,2570,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ43663.1,2586,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RMZ43633.1,2488,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ43418.1,426,KS,Fatty acid synthase
RMZ43212.1,2385,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ43054.1,3888,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RMZ42994.1,2109,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RMZ42538.1,2568,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ41330.1,1890,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RMZ40965.1,2528,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ40961.1,2245,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
RMZ40035.1,419,KS,Thiolase
RMZ39661.1,2577,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ39428.1,910,KS-ER,PKS
RMZ39424.1,711,SAT-KS,PKS
RMZ39240.1,2475,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ38958.1,1755,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RMZ38381.1,2645,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RMZ38335.1,2895,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RMZ38125.1,2551,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ37723.1,413,KS,Thiolase
RMZ37441.1,458,KS,Thiolase
RMZ37237.1,2619,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RMZ36962.1,2421,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RMZ36550.1,2116,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RMZ36423.1,458,KS,Thiolase
RLM01198.1,458,KS,Thiolase
RLM00800.1,419,KS,Thiolase
RLM00572.1,2566,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RLM00364.1,2514,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RLL99996.1,1111,KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RLL99797.1,366,KS,Thiolase
RLL99530.1,417,KS,Thiolase
RLL99249.1,819,KS,Fatty acid synthase
RLL98823.1,2131,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RLL98083.1,524,KS,Thiolase
RLL98023.1,420,KS,Thiolase
RLL97900.1,2384,SAT-KS-AT-PT-MT-TE,PKS|Type I|Non-reducing
RLL97694.1,433,KS,Thiolase
RLL97465.1,2562,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RLL96856.1,2537,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RLL96213.1,2619,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RLL96033.1,3919,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RLL95879.1,404,KS,Thiolase
RLL95504.1,1837,SAT-KS-AT-PT-ACP-ACP,PKS|Type I|Non-reducing
RLL95434.1,774,KS,PKS|Type III
RLL94882.1,413,KS,Thiolase
RLL94712.1,2609,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RLL93808.1,3897,KS-AT-DH-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RLL93237.1,2607,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RLL93123.1,2537,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RJE27515.1,2510,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RJE27359.1,405,KS,Thiolase
RJE27113.1,4062,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RJE27111.1,2530,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RJE27063.1,421,KS,Thiolase
RJE26768.1,2490,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RJE26620.1,2479,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RJE25964.1,829,KS,Fatty acid synthase
RJE25541.1,458,KS,Thiolase
RJE25117.1,404,KS,Thiolase
RJE25090.1,2040,KS-AT-DH-MT-ACP,PKS|Type I|Partially-reducing
RJE24469.1,3959,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RJE23816.1,3982,KS-AT-DH-MT-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RJE23085.1,2285,KS-AT-MT-ER-KR-ACP,PKS|Type I|Partially-reducing
RJE23076.1,417,KS,Thiolase
RJE22915.1,2628,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RJE22581.1,348,KS,PKS
RJE20987.1,1989,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RJE20049.1,418,KS,Thiolase
RJE19625.1,1656,KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RJE19312.1,3095,KS-AT-DH-MT-ER-KR-ACP-cAT,PKS|Type I|Highly-reducing
RJE19107.1,2273,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RJE18723.1,400,KS,Thiolase
RJE18521.1,432,KS,Thiolase
RHZ73806.1,2562,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ73709.1,2131,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RHZ73453.1,458,KS,Thiolase
RHZ72217.1,419,KS,Thiolase
RHZ71140.1,428,KS,Fatty acid synthase
RHZ71037.1,413,KS,Thiolase
RHZ69180.1,2534,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RHZ67903.1,769,KS,Thiolase
RHZ67843.1,2607,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RHZ67150.1,883,KS-AT,PKS|Type I
RHZ66671.1,417,KS,Thiolase
RHZ66414.1,2564,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ65528.1,626,KS-AT,PKS|Type I
RHZ65395.1,433,KS,Thiolase
RHZ64954.1,2709,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ64910.1,2143,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RHZ64034.1,420,KS,Thiolase
RHZ63428.1,3943,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RHZ63238.1,3741,KS-AT-DH-MT-KR-ACP-C-A-T,Hybrid PKS-NRPS
RHZ62572.1,433,KS,Thiolase
RHZ62485.1,234,KS,PKS
RHZ60784.1,2537,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ60653.1,3919,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RHZ60349.1,909,KS,Fatty acid synthase
RHZ58544.1,1837,SAT-KS-AT-PT-ACP-ACP,PKS|Type I|Non-reducing
RHZ58023.1,2160,KS-MT-ER-KR-ACP-cAT,PKS
RHZ57406.1,2443,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RHZ57054.1,2619,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ55805.1,2489,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ55500.1,2585,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RHZ55069.1,420,KS,Thiolase
RHZ54854.1,1843,SAT-KS-AT-PT-ACP-ACP,PKS|Type I|Non-reducing
RHZ54655.1,366,KS,Thiolase
RHZ54610.1,786,KS,PKS|Type III
RHZ54247.1,2534,KS-AT-DH-MT-ER-KR,PKS|Type I|Highly-reducing
RHZ54154.1,2580,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ54030.1,211,KS,PKS
RHZ53603.1,404,KS,Thiolase
RHZ53126.1,2346,SAT-KS-AT-PT-ACP-MT-TE,PKS|Type I|Non-reducing
RHZ52970.1,2609,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ51788.1,2649,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RHZ51660.1,2551,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ48540.1,458,KS,Thiolase
RHZ48345.1,2532,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ47433.1,1800,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RHZ46920.1,3507,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RHZ46593.1,2206,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
RHZ46589.1,2508,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ46412.1,1049,KS-AT-ACP,PKS|Type I
RHZ45826.1,366,KS,Thiolase
RHZ45579.1,2104,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RHZ45040.1,2326,KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RHZ44289.1,4058,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RHZ44133.1,2127,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RHZ44089.1,3870,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RHZ43863.1,419,KS,Thiolase
RHZ43441.1,2912,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RHZ43073.1,418,KS,Thiolase
AXL96300.1,215,KS,PKS
RDW94182.1,2630,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW93799.1,2603,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW93511.1,401,KS,Thiolase
RDW93344.1,435,KS,Thiolase
RDW93187.1,2555,SAT-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RDW93109.1,2152,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RDW92688.1,2118,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RDW90819.1,421,KS,Thiolase
RDW90678.1,1792,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RDW90313.1,4003,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDW90009.1,3074,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW89980.1,2578,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW89916.1,2511,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW87100.1,2115,SAT-KS-AT-PT-ACP-MT,PKS|Type I|Non-reducing
RDW86990.1,2203,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
RDW86492.1,2543,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW83572.1,2528,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW81801.1,399,KS,Thiolase
RDW81244.1,459,KS,Thiolase
RDW78945.1,1966,KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RDW76877.1,2434,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW76683.1,2719,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RDW76674.1,2600,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW76657.1,417,KS,Thiolase
RDW76453.1,2293,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RDW76437.1,1657,KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RDW74686.1,434,KS,Fatty acid synthase
RDW74448.1,2405,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW70882.1,2880,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RDW68951.1,1449,KS-AT-KR,PKS|Type I|Partially-reducing
RDW68927.1,2837,KS-AT-DH-MT-KR-ACP-TR,PKS|Type I|Partially-reducing
RDW68782.1,2625,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RDW67402.1,2535,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW67205.1,2070,SAT-KS-AT-PT-ACP-TE,PKS|Type I|Non-reducing
RDW65922.1,1946,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RDW64526.1,2654,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW64444.1,2284,SAT-KS-AT-PT-ACP-ACP-TR,PKS|Type I|Non-reducing
RDW64324.1,2457,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDW61769.1,2565,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RDW60448.1,417,KS,Thiolase
RDW60389.1,807,KS,Thiolase
RDW59336.1,458,KS,Thiolase
RDW58538.1,1879,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RDK48029.1,3941,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDK47889.1,418,KS,Thiolase
RDK47102.1,2463,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RDK46997.1,419,KS,Thiolase
RDK46726.1,1674,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RDK46682.1,2648,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK46457.1,2440,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK46058.1,2527,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK46056.1,2281,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK45637.1,2237,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK44907.1,428,KS,Fatty acid synthase
RDK44182.1,399,KS,Thiolase
RDK43913.1,3922,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDK43806.1,2426,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK42692.1,3894,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDK42646.1,2632,KR-KS-AT-PT-ACP-ACP-MT-TE,PKS|Type I|Non-reducing
RDK42452.1,2518,KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RDK42374.1,2879,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RDK42369.1,2352,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK42124.1,2492,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK41894.1,421,KS,Thiolase
RDK41607.1,2429,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK41564.1,2617,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RDK41558.1,2548,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK41002.1,1793,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RDK40934.1,3867,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDK40675.1,3631,KS-AT-DH-MT-KR-ACP-C-A-T,Hybrid PKS-NRPS
RDK40451.1,413,KS,Thiolase
RDK40336.1,475,KS,Thiolase
RDK40292.1,2205,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK40261.1,3928,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDK39836.1,1787,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RDK39705.1,2475,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK39623.1,2635,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK39078.1,2595,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK39052.1,2121,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RDK38955.1,2522,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK38953.1,2404,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK38922.1,2415,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK38823.1,2319,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK38771.1,2749,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RDK38725.1,2659,SAT-KS-AT-PT-ACP-ACP-MT-TR,PKS|Type I|Non-reducing
RDK38602.1,2134,SAT-KS-AT-PT-ACP-TR,PKS|Type I|Non-reducing
RDK38263.1,3759,KS-AT-DH-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDK38183.1,1269,KS-AT-DH,PKS|Type I|Partially-reducing
RDK38040.1,2471,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK38008.1,2153,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RDK37582.1,3902,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDK37383.1,2590,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDK37232.1,2478,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RDK36974.1,2630,A-T-KS-AT-ACP,Hybrid PKS-NRPS
RDK36805.1,458,KS,Thiolase
RDK36660.1,2498,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH39666.1,2466,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RDH38790.1,3941,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH38644.1,418,KS,Thiolase
RDH38230.1,3631,KS-AT-DH-MT-KR-ACP-C-A-T,Hybrid PKS-NRPS
RDH37967.1,2630,A-T-KS-AT-ACP,Hybrid PKS-NRPS
RDH37728.1,2378,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH37652.1,2635,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH37483.1,2590,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH37115.1,2511,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH37113.1,2242,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH36746.1,3914,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH36451.1,2895,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RDH36425.1,2740,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH36388.1,2753,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RDH36305.1,1793,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
RDH36173.1,2463,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH36071.1,2316,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH35944.1,2340,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH35939.1,2879,KS-AT-DH-MT-ER-KR-ACP-TR,PKS|Type I|Highly-reducing
RDH35907.1,2569,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RDH34991.1,1779,KS-AT-DH-KR-ACP,PKS|Type I|Partially-reducing
RDH34682.1,3934,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH34243.1,458,KS,Thiolase
RDH33968.1,2462,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH33859.1,3828,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
RDH32973.1,2443,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH32724.1,2480,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH32692.1,2152,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
RDH32437.1,2494,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH32430.1,2617,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
RDH32385.1,2458,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
RDH31816.1,421,KS,Thiolase
RDH31365.1,2478,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
RDH31246.1,2550,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
